file_name,doc_type,provider,model,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_tokens,cost_usd,duration_ms,cascade_triggered,timestamp
VINNAPAS® 5047 T-SDS-en.pdf,SDS,google,gemini-2.5-flash,8929,2607,0,0,11536,0.002904,20059,False,1770748790.322877
VINNAPAS-5129-L-TDS-en-2025.05.26.pdf,Brochure,google,gemini-2.5-flash,2894,2059,0,0,4953,0.001669,23394,False,1770748814.272253
VINNAPAS® 5129 L-SDS-en.pdf,SDS,google,gemini-2.5-flash,9062,2298,0,0,11360,0.002738,16150,False,1770748831.8158422
VINNAPAS-530-ND-TDS-en-2024.08.07.pdf,Brochure,google,gemini-2.5-flash,3463,2669,0,0,6132,0.002121,29612,False,1770748861.9803882
VINNAPAS® 530 ND-SDS-en.pdf,SDS,google,gemini-2.5-flash,8346,3083,0,0,11429,0.003102,35785,False,1770748899.256278
VINNAPAS-550-ED-TDS-en-2024.06.16.pdf,Brochure,google,gemini-2.5-flash,3305,1743,0,0,5048,0.001542,26232,False,1770748926.041425
VINNAPAS® 550 ED (BGH)-SDS-en.pdf,SDS,google,gemini-2.5-flash,9145,2785,0,0,11930,0.003043,32215,False,1770748959.7544699
VINNAPAS-8812-T-TDS-en-2024.06.16.pdf,Brochure,google,gemini-2.5-flash,2969,2185,0,0,5154,0.001756,26614,False,1770748986.94257
VINNAPAS® 8812 T -SDS-en.pdf,SDS,google,gemini-2.5-flash,9229,2650,0,0,11879,0.002974,30016,False,1770749018.7836
VINNAPAS-AF-875-TDS-en-2024.07.31.pdf,CoA,google,gemini-2.5-flash,2932,1565,0,0,4497,0.001379,26632,False,1770749045.915931
VINNAPAS® AF 875-SDS-en.pdf,SDS,google,gemini-2.5-flash,11907,3272,0,0,15179,0.003749,20956,False,1770749068.575383
VINNAPAS® CONSTRUCTION DISPERSION.pdf,Brochure,google,gemini-2.5-flash,17126,2376,0,0,19502,0.003994,28859,False,1770749101.027055
VINNAPAS® SOLID RESINS – CLEAR ADVANTAGES FOR YOUR APPLICATION.pdf,Brochure,google,gemini-2.5-flash,29629,1968,0,0,31597,0.005625,22821,False,1770749128.347789
VINNAPAS-eco-8251-XX-MB-TDS-en-2024.08.07.pdf,SDS,google,gemini-2.5-flash,3100,1664,0,0,4764,0.001463,28117,False,1770749156.9883242
VINNAPAS® eco 8251 (XX MB)-SDS-en.pdf,SDS,google,gemini-2.5-flash,8620,2577,0,0,11197,0.002839,18798,False,1770749177.144098
VINNAPAS-eco-EN-1024-XX-MB-TDS-en-2024.08.07.pdf,Brochure,google,gemini-2.5-flash,3762,3062,0,0,6824,0.002401,24723,False,1770749202.484534
VINNAPAS® eco EN 1024 (XX MB)-SDS-en.pdf,SDS,google,gemini-2.5-flash,9348,2687,0,0,12035,0.003014,29139,False,1770749232.986203
